timestamp,type,threat
1743365536.7026446,login_failure,0
1743365536.7039034,unauthorized_access,1
1743365536.704982,unauthorized_access,1
1743365536.7060466,file_modified,1
1743365536.7071102,file_modified,1
1743365536.708169,file_modified,1
1743365536.7092326,unauthorized_access,1
1743365536.7102997,file_modified,1
1743365536.7113736,file_modified,1
1743365536.7124796,file_modified,1
1743365536.7136183,file_modified,1
1743365536.7147033,unauthorized_access,1
1743365536.7157974,login_failure,0
1743365536.7168822,login_failure,0
1743365536.7179532,unauthorized_access,1
1743365536.719027,login_failure,0
1743365536.720088,login_failure,0
1743365536.72115,file_modified,1
1743365536.7222328,file_modified,1
1743365536.7232993,file_modified,1
1743365536.7243297,unauthorized_access,1
1743365536.7253706,login_failure,0
1743365536.7264411,file_modified,1
1743365536.727498,login_failure,0
1743365536.7285812,file_modified,1
1743365536.729652,file_modified,1
1743365536.7307296,unauthorized_access,1
1743365536.7318215,unauthorized_access,1
1743365536.7330756,file_modified,1
1743365536.734195,login_failure,0
1743365536.7353265,file_modified,1
1743365536.7364285,unauthorized_access,1
1743365536.7375362,file_modified,1
1743365536.7386644,unauthorized_access,1
1743365536.7397678,login_failure,0
1743365536.74128,unauthorized_access,1
1743365536.7426724,login_failure,0
1743365536.7437677,login_failure,0
1743365536.744875,login_failure,0
1743365536.7460036,file_modified,1
1743365536.7470925,file_modified,1
1743365536.7481835,file_modified,1
1743365536.7492898,login_failure,0
1743365536.7503903,unauthorized_access,1
1743365536.7515051,unauthorized_access,1
1743365536.7526157,file_modified,1
1743365536.7536962,unauthorized_access,1
1743365536.7547753,login_failure,0
1743365536.7558482,unauthorized_access,1
1743365536.756923,login_failure,0
1743365536.7579978,file_modified,1
1743365536.75907,file_modified,1
1743365536.7602675,unauthorized_access,1
1743365536.7614002,unauthorized_access,1
1743365536.7625213,unauthorized_access,1
1743365536.76364,login_failure,0
1743365536.764733,login_failure,0
1743365536.7658124,unauthorized_access,1
1743365536.7668622,unauthorized_access,1
1743365536.7679079,file_modified,1
1743365536.7689846,unauthorized_access,1
1743365536.7700045,file_modified,1
1743365536.7710443,login_failure,0
1743365536.7721157,login_failure,0
1743365536.7731862,file_modified,1
1743365536.774218,unauthorized_access,1
1743365536.7752504,unauthorized_access,1
1743365536.7763178,file_modified,1
1743365536.7774024,file_modified,1
1743365536.7784562,unauthorized_access,1
1743365536.7796097,login_failure,0
1743365536.7807047,login_failure,0
1743365536.7818816,file_modified,1
1743365536.7829213,file_modified,1
1743365536.7839596,file_modified,1
1743365536.7849932,file_modified,1
1743365536.786035,unauthorized_access,1
